TIMESTAMP,UserID,TaskID,ViewingCondition,Task,Difficulty,TaskPhase,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount,Precision,Recall,Accuracy,F1Score,CompletionTime
1853.223,2,18,EGOCENTRIC,seperating,HARD,test,68,97,3,32,0.9577465,0.68,0.825,0.7953216,52.91675
1914.439,2,19,EXOCENTRIC,seperating,EASY,training,99,100,0,1,1,0.99,0.995,0.9949749,19.58337
1934.239,2,20,EXOCENTRIC,seperating,EASY,training,99,99,1,1,0.99,0.99,0.99,0.99,14.93335
1998.723,2,21,EXOCENTRIC,seperating,MEDIUM,training,100,91,9,0,0.9174312,1,0.955,0.9569378,63.08337
2031.723,2,22,EXOCENTRIC,seperating,HARD,test,94,96,4,6,0.9591837,0.94,0.95,0.9494949,28.56665
2042.223,2,23,EXOCENTRIC,seperating,EASY,test,99,100,0,1,1,0.99,0.995,0.9949749,9.666748
2081.973,2,24,EXOCENTRIC,seperating,MEDIUM,test,100,98,2,0,0.9803922,1,0.99,0.990099,38.81677
2113.823,2,25,EXOCENTRIC,seperating,MEDIUM,test,99,90,10,1,0.9082569,0.99,0.945,0.9473684,30.5835
2139.423,2,26,EXOCENTRIC,seperating,MEDIUM,test,96,98,2,4,0.9795918,0.96,0.97,0.9696969,24.78345
2173.99,2,27,EXOCENTRIC,seperating,EASY,test,100,100,0,0,1,1,1,1,33.53345
2216.823,2,28,EXOCENTRIC,seperating,HARD,test,93,93,7,7,0.93,0.93,0.93,0.93,41.66675
2246.473,2,29,EXOCENTRIC,seperating,HARD,test,97,91,9,3,0.9150943,0.97,0.94,0.9417475,28.8833
2410.79,2,30,EXOCENTRIC,seperating,MEDIUM,test,96,98,2,4,0.9795918,0.96,0.97,0.9696969,40.68335
2433.023,2,31,EXOCENTRIC,seperating,HARD,test,92,97,3,8,0.968421,0.92,0.945,0.9435897,21.15015
2459.807,2,32,EXOCENTRIC,seperating,MEDIUM,test,97,97,3,3,0.97,0.97,0.97,0.97,26.06665
2482.407,2,33,EXOCENTRIC,seperating,HARD,test,90,98,2,10,0.9782609,0.9,0.94,0.9375,21.8501
2504.69,2,34,EXOCENTRIC,seperating,EASY,test,98,100,0,2,1,0.98,0.99,0.989899,21.56665
2517.14,2,35,EXOCENTRIC,seperating,EASY,test,99,98,2,1,0.980198,0.99,0.985,0.9850746,11.68335
2524.474,2,36,EXOCENTRIC,seperating,EASY,test,99,100,0,1,1,0.99,0.995,0.9949749,6.633545
2571.39,2,37,EGOCENTRIC,denoising,EASY,training,96,134,16,4,0.8571429,0.96,0.92,0.9056604,42.4502
2682.174,2,38,EGOCENTRIC,denoising,EASY,training,88,144,6,12,0.9361702,0.88,0.928,0.9072165,67.81689
2760.724,2,39,EGOCENTRIC,denoising,MEDIUM,training,94,385,15,6,0.8623853,0.94,0.958,0.8995215,58.4834
2814.924,2,40,EGOCENTRIC,denoising,MEDIUM,test,87,384,16,13,0.8446602,0.87,0.942,0.8571429,38.53345
2889.457,2,41,EGOCENTRIC,denoising,EASY,test,95,145,5,5,0.95,0.95,0.96,0.95,73.43335
2946.657,2,42,EGOCENTRIC,denoising,EASY,test,91,141,9,9,0.91,0.91,0.928,0.91,56.5
2977.974,2,43,EGOCENTRIC,denoising,EASY,test,98,131,19,2,0.8376068,0.98,0.916,0.9032258,30.19995
3059.991,2,44,EGOCENTRIC,denoising,HARD,test,86,634,16,14,0.8431373,0.86,0.96,0.8514851,81.1001
3116.458,2,45,EGOCENTRIC,denoising,HARD,test,99,622,28,1,0.7795275,0.99,0.9613333,0.8722467,55.6001
3146.258,2,46,EGOCENTRIC,denoising,HARD,test,93,611,39,7,0.7045454,0.93,0.9386666,0.8017241,29
3196.858,2,47,EGOCENTRIC,denoising,HARD,test,86,611,39,14,0.688,0.86,0.9293333,0.7644444,49.5332
3413.941,2,48,EGOCENTRIC,denoising,HARD,test,87,622,28,13,0.7565218,0.87,0.9453334,0.8093023,46.18335
3441.458,2,49,EGOCENTRIC,denoising,MEDIUM,test,89,383,17,11,0.8396226,0.89,0.944,0.8640776,26.7666
3475.258,2,50,EGOCENTRIC,denoising,MEDIUM,test,78,384,16,22,0.8297873,0.78,0.924,0.8041237,32.93335
3514.758,2,51,EGOCENTRIC,denoising,MEDIUM,test,93,379,21,7,0.8157895,0.93,0.944,0.8691589,38.75
3553.725,2,52,EGOCENTRIC,denoising,EASY,test,88,144,6,12,0.9361702,0.88,0.928,0.9072165,38.05005
3606.792,2,53,EGOCENTRIC,denoising,MEDIUM,test,89,382,18,11,0.8317757,0.89,0.942,0.8599033,52.43359
3626.058,2,54,EGOCENTRIC,denoising,EASY,test,98,142,8,2,0.9245283,0.98,0.96,0.9514563,18.55005
3660.975,2,55,EXOCENTRIC,denoising,EASY,training,93,143,7,7,0.93,0.93,0.944,0.93,25.15015
3693.309,2,56,EXOCENTRIC,denoising,EASY,training,95,144,6,5,0.9405941,0.95,0.956,0.9452736,28.00024
3726.925,2,57,EXOCENTRIC,denoising,MEDIUM,training,93,392,8,7,0.9207921,0.93,0.97,0.9253731,30.76685
3820.259,2,58,EXOCENTRIC,denoising,HARD,test,92,629,21,8,0.8141593,0.92,0.9613333,0.8638498,87.25
3838.559,2,59,EXOCENTRIC,denoising,MEDIUM,test,94,389,11,6,0.8952381,0.94,0.966,0.9170732,17.43335
3864.092,2,60,EXOCENTRIC,denoising,EASY,test,93,145,5,7,0.9489796,0.93,0.952,0.9393939,24.8999
3893.459,2,61,EXOCENTRIC,denoising,EASY,test,95,141,9,5,0.9134616,0.95,0.944,0.9313726,28.28345
3911.442,2,62,EXOCENTRIC,denoising,EASY,test,94,146,4,6,0.9591837,0.94,0.96,0.9494949,17.3667
3936.792,2,63,EXOCENTRIC,denoising,HARD,test,90,632,18,10,0.8333333,0.9,0.9626667,0.8653846,24.2002
3963.392,2,64,EXOCENTRIC,denoising,MEDIUM,test,98,382,18,2,0.8448276,0.98,0.96,0.9074074,25.96655
3985.492,2,65,EXOCENTRIC,denoising,HARD,test,84,632,18,16,0.8235294,0.84,0.9546667,0.8316832,21.3833
4009.809,2,66,EXOCENTRIC,denoising,MEDIUM,test,93,387,13,7,0.8773585,0.93,0.96,0.9029126,21.16675
4025.676,2,67,EXOCENTRIC,denoising,MEDIUM,test,89,391,9,11,0.9081632,0.89,0.96,0.8989899,15.23315
4050.392,2,68,EXOCENTRIC,denoising,HARD,test,97,608,42,3,0.6978417,0.97,0.94,0.8117155,24.0835
4065.476,2,69,EXOCENTRIC,denoising,EASY,test,91,147,3,9,0.9680851,0.91,0.952,0.9381443,14.1167
4089.359,2,70,EXOCENTRIC,denoising,HARD,test,93,633,17,7,0.8454546,0.93,0.968,0.8857144,22.93335
4116.076,2,71,EXOCENTRIC,denoising,EASY,test,95,146,4,5,0.959596,0.95,0.964,0.9547738,25.93335
4133.493,2,72,EXOCENTRIC,denoising,MEDIUM,test,92,387,13,8,0.8761905,0.92,0.958,0.897561,16.81689
162.7367,3,1,EGOCENTRIC,denoising,EASY,training,81,150,0,19,1,0.81,0.924,0.8950276,95.51667
228.1867,3,2,EGOCENTRIC,denoising,EASY,training,90,147,3,10,0.9677419,0.9,0.948,0.9326425,59.96672
337.7367,3,3,EGOCENTRIC,denoising,MEDIUM,training,82,391,9,18,0.9010989,0.82,0.946,0.8586388,105.2666
505.8201,3,4,EGOCENTRIC,denoising,EASY,test,97,147,3,3,0.97,0.97,0.976,0.97,160.7167
662.4867,3,5,EGOCENTRIC,denoising,MEDIUM,test,96,384,16,4,0.8571429,0.96,0.96,0.9056604,154.8
773.2867,3,6,EGOCENTRIC,denoising,MEDIUM,test,80,396,4,20,0.952381,0.8,0.952,0.8695652,108.7667
944.8701,3,7,EGOCENTRIC,denoising,HARD,test,56,646,4,44,0.9333333,0.56,0.936,0.7,170.5667
1092.52,3,8,EGOCENTRIC,denoising,EASY,test,94,145,5,6,0.949495,0.94,0.956,0.9447237,146.4833
1282.837,3,9,EGOCENTRIC,denoising,EASY,test,91,150,0,9,1,0.91,0.964,0.9528795,188.9333
1411.12,3,10,EGOCENTRIC,denoising,EASY,test,93,147,3,7,0.96875,0.93,0.96,0.9489796,127.1167
1603.17,3,11,EGOCENTRIC,denoising,MEDIUM,test,66,395,5,34,0.9295775,0.66,0.922,0.7719299,190.7667
1849.787,3,12,EGOCENTRIC,denoising,HARD,test,68,645,5,32,0.9315069,0.68,0.9506667,0.7861272,204.4999
2073.437,3,13,EGOCENTRIC,denoising,HARD,test,84,635,15,16,0.8484849,0.84,0.9586667,0.8442211,222.2999
2220.42,3,14,EGOCENTRIC,denoising,MEDIUM,test,75,397,3,25,0.9615384,0.75,0.944,0.8426966,143.8333
2349.204,3,15,EGOCENTRIC,denoising,HARD,test,84,641,9,16,0.9032258,0.84,0.9666666,0.8704663,127.9167
2485.053,3,16,EGOCENTRIC,denoising,EASY,test,93,148,2,7,0.9789473,0.93,0.964,0.9538462,135.3499
2642.854,3,17,EGOCENTRIC,denoising,MEDIUM,test,84,394,6,16,0.9333333,0.84,0.956,0.8842105,157
2813.437,3,18,EGOCENTRIC,denoising,HARD,test,73,643,7,27,0.9125,0.73,0.9546667,0.8111112,169.8501
2900.97,3,19,EXOCENTRIC,denoising,EASY,training,84,147,3,16,0.9655172,0.84,0.924,0.8983957,72.56665
2932.287,3,20,EXOCENTRIC,denoising,EASY,training,97,146,4,3,0.9603961,0.97,0.972,0.9651741,26.9834
2959.22,3,21,EXOCENTRIC,denoising,MEDIUM,training,91,388,12,9,0.8834952,0.91,0.958,0.8965517,24.41675
3024.52,3,22,EXOCENTRIC,denoising,MEDIUM,test,89,392,8,11,0.9175258,0.89,0.962,0.9035533,60.34985
3075.637,3,23,EXOCENTRIC,denoising,EASY,test,96,146,4,4,0.96,0.96,0.968,0.96,50.33325
3125.22,3,24,EXOCENTRIC,denoising,MEDIUM,test,87,391,9,13,0.90625,0.87,0.956,0.8877551,48.8999
3223.487,3,25,EXOCENTRIC,denoising,MEDIUM,test,82,393,7,18,0.9213483,0.82,0.95,0.8677249,95.16675
3288.604,3,26,EXOCENTRIC,denoising,HARD,test,80,646,4,20,0.952381,0.8,0.968,0.8695652,60.15015
3357.054,3,27,EXOCENTRIC,denoising,HARD,test,88,639,11,12,0.8888889,0.88,0.9693334,0.8844221,67.94995
3407.854,3,28,EXOCENTRIC,denoising,HARD,test,96,625,25,4,0.7933884,0.96,0.9613333,0.8687783,49.6167
3486.004,3,29,EXOCENTRIC,denoising,EASY,test,82,148,2,18,0.9761904,0.82,0.92,0.8913043,77.56665
3564.254,3,30,EXOCENTRIC,denoising,EASY,test,98,147,3,2,0.970297,0.98,0.98,0.9751244,51.4834
3679.72,3,31,EXOCENTRIC,denoising,HARD,test,76,633,17,24,0.8172043,0.76,0.9453334,0.7875648,114.5
3731.587,3,32,EXOCENTRIC,denoising,EASY,test,88,148,2,12,0.9777778,0.88,0.944,0.9263158,51.0835
3772.17,3,33,EXOCENTRIC,denoising,HARD,test,89,637,13,11,0.872549,0.89,0.968,0.8811882,39.71655
3833.637,3,34,EXOCENTRIC,denoising,MEDIUM,test,73,396,4,27,0.9480519,0.73,0.938,0.8248588,60.7002
3886.937,3,35,EXOCENTRIC,denoising,MEDIUM,test,86,394,6,14,0.9347826,0.86,0.96,0.8958334,52.59985
3927.104,3,36,EXOCENTRIC,denoising,EASY,test,90,148,2,10,0.9782609,0.9,0.952,0.9375,39.3999
3980.737,3,37,EGOCENTRIC,seperating,EASY,training,98,99,1,2,0.989899,0.98,0.985,0.9849247,36.33325
3996.437,3,38,EGOCENTRIC,seperating,EASY,training,100,100,0,0,1,1,1,1,14.06665
4029.537,3,39,EGOCENTRIC,seperating,MEDIUM,training,95,100,0,5,1,0.95,0.975,0.9743589,31.58325
4049.338,3,40,EGOCENTRIC,seperating,EASY,test,100,98,2,0,0.9803922,1,0.99,0.990099,16.93408
4085.287,3,41,EGOCENTRIC,seperating,HARD,test,95,93,7,5,0.9313725,0.95,0.94,0.9405941,35.16675
4110.47,3,42,EGOCENTRIC,seperating,HARD,test,84,97,3,16,0.9655172,0.84,0.905,0.8983957,24.43311
4131.97,3,43,EGOCENTRIC,seperating,EASY,test,99,100,0,1,1,0.99,0.995,0.9949749,20.98291
4169.037,3,44,EGOCENTRIC,seperating,HARD,test,95,96,4,5,0.959596,0.95,0.955,0.9547738,36.5835
4189.47,3,45,EGOCENTRIC,seperating,HARD,test,92,93,7,8,0.9292929,0.92,0.925,0.9246231,18.9165
4221.954,3,46,EGOCENTRIC,seperating,MEDIUM,test,95,99,1,5,0.9895833,0.95,0.97,0.9693877,31.2334
4244.67,3,47,EGOCENTRIC,seperating,EASY,test,97,98,2,3,0.979798,0.97,0.975,0.9748744,21.7666
4280.621,3,48,EGOCENTRIC,seperating,MEDIUM,test,100,99,1,0,0.990099,1,0.995,0.9950249,20.3335
4317.404,3,49,EGOCENTRIC,seperating,HARD,test,93,93,7,7,0.93,0.93,0.93,0.93,36.2666
4339.087,3,50,EGOCENTRIC,seperating,MEDIUM,test,100,96,4,0,0.9615384,1,0.98,0.9803922,20.8999
4360.437,3,51,EGOCENTRIC,seperating,MEDIUM,test,98,97,3,2,0.970297,0.98,0.975,0.9751244,20.83301
4374.654,3,52,EGOCENTRIC,seperating,EASY,test,100,99,1,0,0.990099,1,0.995,0.9950249,12.81689
4400.471,3,53,EGOCENTRIC,seperating,EASY,test,95,100,0,5,1,0.95,0.975,0.9743589,25.2334
4432.771,3,54,EGOCENTRIC,seperating,MEDIUM,test,94,100,0,6,1,0.94,0.97,0.9690722,31.8999
4445.904,3,55,EXOCENTRIC,seperating,EASY,training,99,100,0,1,1,0.99,0.995,0.9949749,9.116699
4470.404,3,56,EXOCENTRIC,seperating,EASY,training,97,99,1,3,0.9897959,0.97,0.98,0.979798,23.5
4479.354,3,57,EXOCENTRIC,seperating,MEDIUM,training,96,97,3,4,0.969697,0.96,0.965,0.9648241,8.066895
4497.404,3,58,EXOCENTRIC,seperating,MEDIUM,test,99,91,9,1,0.9166667,0.99,0.95,0.9519231,15.7168
4513.887,3,59,EXOCENTRIC,seperating,EASY,test,100,98,2,0,0.9803922,1,0.99,0.990099,16.05029
