TIMESTAMP,UserID,TaskID,DistanceToA,ViewingAngleA,DistanceToB,ViewingAngleB,UserPositionX,UserPositionY,UserPositionZ
1560.537,11,24,6.282247,3.779008,0,0,0,0,0
1561.037,11,24,6.282247,3.779008,0,0,0,0,0
1561.537,11,24,6.282247,3.779008,0,0,0,0,0
1562.037,11,24,6.282247,3.779008,0,0,0,0,0
1562.553,11,24,6.282247,3.779008,0,0,0,0,0
1563.053,11,24,6.282247,3.779008,0,0,0,0,0
1563.553,11,24,5.585931,4.253812,0,0,0,0,0
1564.053,11,24,4.841105,4.91502,0,0,0,0,0
1564.553,11,24,4.717166,5.045623,0,0,0,0,0
1565.053,11,24,4.717166,5.045623,0,0,0,0,0
1565.553,11,24,4.717166,5.045623,0,0,0,0,0
1566.053,11,24,4.717166,5.045623,0,0,0,0,0
1566.553,11,24,4.717166,5.045623,0,0,0,0,0
1567.053,11,24,4.717166,5.045623,0,0,0,0,0
1567.553,11,24,4.717166,5.045623,0,0,0,0,0
1568.053,11,24,4.717166,5.045623,0,0,0,0,0
1568.553,11,24,4.480476,1.57607,0,0,0,0,0
1569.053,11,24,4.468294,0.8690815,0,0,0,0,0
1569.553,11,24,4.467267,0.7790887,0,0,0,0,0
1570.053,11,24,4.467267,0.7790887,0,0,0,0,0
1570.553,11,24,4.467267,0.7790887,0,0,0,0,0
1571.053,11,24,4.467267,0.7790887,0,0,0,0,0
1571.553,11,24,4.467267,0.7790887,0,0,0,0,0
1572.053,11,24,4.467267,0.7790887,0,0,0,0,0
1572.553,11,24,4.467267,0.7790887,0,0,0,0,0
1573.053,11,24,4.467267,0.7790887,0,0,0,0,0
1573.553,11,24,4.467267,0.7790887,0,0,0,0,0
1574.053,11,24,4.364082,-0.3588198,0,0,0,0,0
1574.553,11,24,4.315758,-0.1823843,0,0,0,0,0
1575.053,11,24,4.391255,-0.1791368,0,0,0,0,0
1575.553,11,24,4.391255,-0.1791368,0,0,0,0,0
1576.053,11,24,4.391255,-0.1791368,0,0,0,0,0
1576.553,11,24,4.391255,-0.1791368,0,0,0,0,0
1577.053,11,24,4.391255,-0.1791368,0,0,0,0,0
1577.553,11,24,4.391255,-0.1791368,0,0,0,0,0
1578.053,11,24,4.391255,-0.1791368,0,0,0,0,0
1578.553,11,24,4.391255,-0.1791368,0,0,0,0,0
1579.053,11,24,4.391255,-0.1791368,0,0,0,0,0
1579.553,11,24,4.278901,-0.0656106,0,0,0,0,0
1580.053,11,24,4.300249,0.1219466,0,0,0,0,0
1580.553,11,24,4.300249,0.1219466,0,0,0,0,0
1581.053,11,24,4.075465,0.1282043,0,0,0,0,0
1581.553,11,24,3.326494,0.1582588,0,0,0,0,0
1582.053,11,24,2.578004,0.2046302,0,0,0,0,0
1582.553,11,24,2.638532,-1.044739,0,0,0,0,0
